run,vin_nominal,P_out_W,eta,loss_W,Vin_V,Iin_A,rows
2026-09-15_141459_fans_20V,20,7.223347390291201,0.9714273231468885,0.21205427604940752,20.147583333333333,0.3690502473230214,42
2026-09-15_141459_fans_20V,20,8.941862747956826,0.9749718424066586,0.22903095823259,20.135529545454546,0.4554635057531845,44
2026-09-15_141459_fans_20V,20,11.129512687604953,0.9789602214673986,0.23839784646995454,20.119904081632654,0.5650182612864537,49
2026-09-15_141459_fans_20V,20,13.658462368233977,0.981009934193005,0.26461748128013163,20.101734146341464,0.6926408216273373,41
2026-09-15_141459_fans_20V,20,16.1064748483376,0.9820976480516014,0.2932108912297231,20.083891176470587,0.816567528056422,34
2026-09-15_141459_fans_20V,20,18.656376812553802,0.9825779075139657,0.3303964703852742,20.06484411764706,0.9462812667447451,34
2026-09-15_141459_fans_20V,20,21.32115822710782,0.9827066997528753,0.37536227594479854,20.044906896551726,1.0824043955351306,29
2026-09-15_141459_fans_20V,20,23.661318885427093,0.9832134686022092,0.40393811737725827,20.02758461538462,1.2016127350348145,26
2026-09-15_141459_fans_20V,20,26.127144906622735,0.9826524891482883,0.4616942072518704,20.00917391304348,1.3288423210883455,23
2026-09-15_141459_fans_20V,20,28.629940248816748,0.9822065091496046,0.5186417342903837,19.990163636363636,1.458154734751148,22
2026-09-15_141459_fans_20V,20,31.22879552451298,0.9823099745028405,0.5622470387395495,19.970748,1.5918918783943448,25
2026-09-15_141459_fans_20V,20,33.961145121380596,0.9819412654639538,0.6244945147160408,19.95,1.7336258009656063,17
2026-09-15_141459_fans_20V,20,35.77322342835929,0.9820400027046029,0.6544421420267525,19.936233333333334,1.8272160751146858,9
